DATEPRD,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
13-Jul-08,260.867,103.293,160.15,0,21.05,100.71,52.38,69.54,1735.26,252235.23,4
14-Jul-08,256.248,104.018,156.65,0,27.22,99.6,71.12,68.02,592.36,88949,1.37
15-Jul-08,254.983,103.967,156.33,0,27.28,98.65,67.59,66.95,2532.21,373786.28,5.84
16-Jul-08,251.476,104.211,155.82,0,30.65,95.66,73.78,63.66,3030.71,447840.09,9.13
17-Jul-08,249.346,104.339,155.76,0,32.56,93.59,78.04,61.34,3288.08,474614.43,7.58
22-Jul-08,251.858,104.407,155.17,0,29.75,96.69,77.02,64.77,2717.44,399221.04,6.45
23-Jul-08,251.915,104.43,155.18,0,29.67,96.73,77.14,64.77,2745.51,403771,6.38
24-Jul-08,251.851,104.441,155.19,0,29.79,96.66,76.88,64.95,2762.59,413309.67,6.4
25-Jul-08,251.87,104.459,155.58,0,29.72,96.29,71.98,64.82,2763.68,402430.02,6.43
26-Jul-08,251.855,104.472,155.42,0,29.79,96.44,73.85,64.94,2759.3,404995.2,6.39
27-Jul-08,251.915,104.469,155.42,0,29.78,96.5,74.99,65.01,2732.34,400145.03,6.28
28-Jul-08,251.951,104.496,155.37,0,29.81,96.58,75.9,65.07,2762.74,405191.14,6.35
29-Jul-08,252.589,104.497,155.28,0,28.81,97.31,75.37,65.84,2670.67,391242.72,8.82
2-Aug-08,250.541,104.62,160.5,0,30.76,90.04,74.15,59.9,3057.91,449222.7,4.29
4-Aug-08,250.179,104.558,155.99,0,32.19,94.19,76.06,62.48,3019.3,441240.45,4.54
5-Aug-08,250.292,104.644,156.19,0,32.31,94.11,75.51,62.39,3135.89,457771.78,4.72
6-Aug-08,251.121,104.63,156.14,0,29.15,94.99,77.05,63.3,911.43,134051.24,1.37
21-Aug-08,237.672,104.728,154.7,0,36.32,82.98,78.76,50.39,2911.25,423611.98,5.54
23-Sep-08,213.475,105.006,154.55,0,52.37,58.93,79.34,25.56,5290.92,753658.36,20.73
24-Sep-08,211.802,105.021,153.95,0,53.29,57.86,80.58,24.49,5336.6,757018.34,7.49
25-Sep-08,212.718,105.003,152.56,0,50.21,60.15,80.22,26.96,4880.31,733460.14,20.56
26-Sep-08,209.007,105.025,153.31,0,55.55,55.69,80.32,22.28,5453.84,773865.6,29.58
28-Sep-08,209.36,105.027,152.61,0,53.96,56.75,78.51,23.48,5156.66,736404.87,18.84
29-Sep-08,207.532,105.032,152.63,0,55.81,54.9,78.7,21.53,5410.73,766070.77,10.11
6-Oct-08,215.263,104.938,148.71,0,38.5,66.56,74.52,34.42,3485.34,484446.82,1.11
7-Oct-08,212.017,104.979,148.5,0,43.3,63.52,75.38,30.85,4222.5,599591.35,2.58
29-Oct-08,211.473,105.157,152.2,0,50.58,59.28,78.25,26.1,4793.27,688367.98,3.69
2-Nov-08,218.989,104.999,151.86,0,38.06,67.13,73.57,34.48,3731.52,531070.72,2.34
9-Nov-08,223.258,105.088,148.59,0,35.94,74.67,76.08,42.5,3502.6,497111.26,2.85
11-Nov-08,223.836,105.096,148.93,0,35.81,74.91,74.61,42.76,3492.99,495927.25,0.85
25-Nov-08,224.749,105.135,149.63,0,36.56,75.12,77.33,42.35,3661.02,525715.86,12.45
9-Dec-08,233.236,105.215,152.49,0,35.81,80.74,75.81,47.91,3687.36,510228.28,0.98
21-Dec-08,242.066,105.233,154.8,0,33.95,87.26,76.46,54.59,3492.51,508709.44,4.13
22-Dec-08,242.88,105.232,155.01,0,33.79,87.87,77.92,55.17,3478.92,506383.06,4.28
3-Jan-09,251.823,105.174,158.27,0,30.05,93.55,74.83,61.29,2216.9,323603.08,3.42
6-Jan-09,250.786,104.938,157.76,0,31.61,93.03,74.04,60.27,2649.25,386193.55,1.51
13-Jan-09,247.99,104.038,158.47,0,36.26,89.52,79.39,56.29,3920.6,561182.25,3.35
14-Jan-09,251.528,105.361,160.87,0,35.82,90.66,80.37,57.42,3827.53,547774.31,2.66
15-Jan-09,252.119,105.369,161.13,0,35.81,90.98,76.94,57.83,4449.03,639914.22,48.44
13-Feb-09,263.817,105.313,164.74,0,32.26,99.08,78.19,66.38,3573.58,506865.09,91.37
15-Feb-09,262.417,105.388,165.23,0,34.88,97.19,79.68,64.47,4493.98,639392.16,88.04
18-Feb-09,263.497,105.401,165.92,0,34.82,97.58,78.53,64.44,4515.1,641145.23,91.87
20-Mar-09,249.808,104.825,161.58,0,36.01,88.23,79.34,55.47,4539.29,633353.27,37.01
30-Mar-09,261.91,102.627,167.1,0,11.91,94.81,25.9,67.24,155.26,18731.26,0
25-Apr-09,220.166,105.055,152,0,39.87,68.16,74.83,35.32,4090.03,552159.1,3.38
30-Apr-09,218.593,105.086,151.13,0,39.25,67.46,77.78,34.64,4035.73,546557.59,3.08
1-May-09,218.694,105.099,151.43,0,40.12,67.26,75.59,34.42,4081.53,550609.59,2.92
2-May-09,218.844,105.106,151.35,0,40.12,67.49,77.76,34.63,4066.61,550195.52,2.5
28-May-09,226.489,105.404,157.68,0,41.26,68.81,81.61,35.77,4023.55,553235.27,287.96
3-Jun-09,228.677,105.329,156.89,0,37.79,71.79,78.62,39.35,2994.6,409045.34,186.7
4-Jun-09,227.84,105.316,156.46,0,37.93,71.38,80.33,38.96,3352.53,456955.83,104.45
5-Jun-09,226.274,105.318,156.25,0,38.48,70.03,81.07,37.52,3369.57,460247.78,79.52
6-Jun-09,228.892,105.237,156.57,0,34.15,72.32,75.91,40.59,2702,368496.38,99.3
7-Jun-09,224.913,105.291,155.85,0,38.72,69.07,79.58,36.36,3439.9,459880.12,177.73
8-Jun-09,222.903,105.31,155.5,0,39.78,67.4,81.26,34.66,3497.78,469527.14,109.23
12-Jun-09,219.34,105.297,154.35,0,40.27,64.99,81.23,32.38,3768.1,527805.4,21.4
28-Jun-09,228.92,105.071,152.39,0,28.22,76.54,75.71,45.28,1755.46,253941.55,256.61
29-Jun-09,228.987,105.066,152.36,0,28.16,76.63,76.35,45.36,1786.06,256678.7,242.23
19-Jul-09,229.909,105.083,153.82,0,28.16,76.08,74.54,44.76,1725.31,237547.48,140.25
16-Aug-09,223.952,105.525,160.39,0,42.24,63.56,84.69,30.7,4224.45,586837.65,817.1
17-Aug-09,224.403,105.534,160.76,0,42.29,63.65,86.41,30.77,4232.84,587997.71,804.53
20-Aug-09,225.513,105.564,161.85,0,42.29,63.66,84.46,30.79,4232.66,589375.1,785.26
26-Aug-09,234.194,105.343,171.8,0,30.96,62.4,78.75,36.67,1466.67,204838.22,658.03
4-Sep-09,254.737,104.645,254.74,0,19.46,0,47.31,31.91,293.98,39397.99,17.2
7-Sep-09,240.806,104.366,163.89,0,32.36,76.92,79.38,45.51,2262.5,316811.72,13.9
8-Sep-09,239.742,105.529,165.1,0,37.83,74.64,84.05,42.1,3644.19,508699.03,860.8
24-Sep-09,230.587,105.912,172.81,0,55.3,57.78,87.58,23.91,4270.77,597666.97,693.42
10-Oct-09,236.194,104.167,168.38,0,40.54,67.81,83.56,34.74,3599.73,504695.35,538.91
11-Oct-09,239.867,105.796,171.29,0,41.16,68.57,86.87,35.04,3580.92,501628.24,575.5
25-Oct-09,241.828,105.789,173.39,0,39.83,68.43,81.8,35.19,3384.02,472845.45,1072.62
13-Nov-09,238.581,105.965,176.31,0,44.2,62.27,85.45,28.78,3614.06,514697.38,1618.1
27-Nov-09,246.252,105.903,176.69,0,36.42,69.56,87.09,36.57,3099.79,439791.82,1324.12
21-Dec-09,232.696,106.08,179.49,0,48.3,53.21,85.87,20.34,3061.28,423081.69,2407.76
9-Jan-10,240.821,106.11,182.82,0,39.73,58,85.78,25.45,2301.79,337751.4,1609.05
17-Jan-10,235.609,106.217,183.84,0,49.31,51.77,85.16,18.91,2695.51,376652.43,2791.5
